Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description
O94973;O94973-2	O94973;O94973-2;A0A0G2JS82	AP2A2_HUMAN	AP2A2	AP-2 complex subunit alpha-2
O94979	O94979;O94979-10;O94979-2;O94979-3;O94979-4;O94979-5;O94979-6;O94979-7;O94979-8;O94979-9;D6REX3;D6RHZ5;H0YAB3;H7BXG7;H0Y8V7;H0Y9K1	SC31A_HUMAN	SEC31A	Protein transport protein Sec31A
O94985-2	O94985-2;A0A3B3ITY6	CSTN1_HUMAN	CLSTN1	Isoform 2 of Calsyntenin-1
O94985;O94985-2	O94985;O94985-2;Q5SR54	CSTN1_HUMAN	CLSTN1	Calsyntenin-1
O94988	O94988;O94988-1;O94988-3;O94988-5;O94988-6;E9PGM7	FA13A_HUMAN	FAM13A	Protein FAM13A
O94991	O94991;O94991-2	SLIK5_HUMAN	SLITRK5	SLIT and NTRK-like protein 5
O94991;Q9H5Y7	O94991;Q9H5Y7	SLIK5_HUMAN;SLIK6_HUMAN	SLITRK5;SLITRK6	SLIT and NTRK-like protein 5
O94992	O94992	HEXI1_HUMAN	HEXIM1	Protein HEXIM1
O95025	O95025	SEM3D_HUMAN	SEMA3D	Semaphorin-3D
O95045	O95045;O95045-2	UPP2_HUMAN	UPP2	Uridine phosphorylase 2
O95049;O95049-3;O95049-4	O95049;O95049-3;O95049-4;O95049-5	ZO3_HUMAN	TJP3	Tight junction protein ZO-3
O95050;O95050-2	O95050;O95050-2	INMT_HUMAN	INMT	Indolethylamine N-methyltransferase
O95059	O95059	RPP14_HUMAN	RPP14	Ribonuclease P protein subunit p14
O95067	O95067;H1UBN3	CCNB2_HUMAN	CCNB2	G2/mitotic-specific cyclin-B2
O95071;O95071-2	O95071;E7EMW7;O95071-2	UBR5_HUMAN	UBR5	E3 ubiquitin-protein ligase UBR5
O95081	O95081;O95081-2;A0A0C4DG34	AGFG2_HUMAN	AGFG2	Arf-GAP domain and FG repeat-containing protein 2
O95084	O95084;O95084-2	PRS23_HUMAN	PRSS23	Serine protease 23
O95104	O95104;Q9UPN6;O95104-2;O95104-3;Q9UPN6-2;A0A0A0MT33	SCAF4_HUMAN	SCAF4	SR-related and CTD-associated factor 4
O95147	O95147	DUS14_HUMAN	DUSP14	Dual specificity protein phosphatase 14
O95149	O95149;H3BQR0;H3BRI5;H3BSK1;H3BTA6	SPN1_HUMAN	SNUPN	Snurportin-1
O95154	O95154	ARK73_HUMAN	AKR7A3	Aflatoxin B1 aldehyde reductase member 3
O95155;O95155-2;O95155-4	O95155;K7ERA7;O95155-2;O95155-3;O95155-4	UBE4B_HUMAN	UBE4B	Ubiquitin conjugation factor E4 B
O95159	O95159;E9PJ47;E9PJX1;E9PMQ3;E9PNY1;E9PQ47;E9PQA5	ZFPL1_HUMAN	ZFPL1	Zinc finger protein-like 1
O95163	O95163;A0A6Q8PEX6;A0A6Q8PF66;A0A6Q8PF69;A0A6Q8PFB7;A0A6Q8PFH9;A0A6Q8PFN8;A0A6Q8PG86;A0A6Q8PGR0;A0A6Q8PGW3;A0A6Q8PH48;A0A6Q8PHA0;A0A6Q8PHC9;A0A6Q8PHF4;A0A6Q8PHI5;F5H2T0	ELP1_HUMAN	ELP1	Elongator complex protein 1
O95164	O95164	UBL3_HUMAN	UBL3	Ubiquitin-like protein 3
O95166	O95166;H6UMI1;I3L3J4	GBRAP_HUMAN	GABARAP	Gamma-aminobutyric acid receptor-associated protein
O95166;P60520;Q9H0R8;Q9H0R8-2	O95166;P60520;Q9H0R8;Q9H0R8-2;F5GZY7;H3BSM5;H6UMI1	GBRAP_HUMAN;GBRL1_HUMAN;GBRL2_HUMAN	GABARAP;GABARAPL1;GABARAPL2	Gamma-aminobutyric acid receptor-associated protein
O95166;Q9H0R8;Q9H0R8-2	O95166;Q9H0R8;Q9H0R8-2;F5GZY7;H6UMI1	GBRAP_HUMAN;GBRL1_HUMAN	GABARAP;GABARAPL1	Gamma-aminobutyric acid receptor-associated protein
O95171	O95171;F2Z2X8;O95171-2;O95171-3	SCEL_HUMAN	SCEL	Sciellin
O95182	O95182	NDUA7_HUMAN	NDUFA7	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7
O95185	O95185;A0A087X152;E0CX15	UNC5C_HUMAN	UNC5C	Netrin receptor UNC5C
O95197;O95197-2;O95197-6;O95197-7	O95197;O95197-3;B7Z4M1;F5H617;O95197-2;O95197-4;O95197-5;O95197-6;O95197-7	RTN3_HUMAN	RTN3	Reticulon-3
O95197;O95197-2;O95197-7	O95197;O95197-3;O95197-2;O95197-4;O95197-7	RTN3_HUMAN	RTN3	Reticulon-3
O95202	O95202	LETM1_HUMAN	LETM1	Mitochondrial proton/calcium exchanger protein
O95206	O95206	PCDH8_HUMAN	PCDH8	Protocadherin-8
O95208	O95208;O95208-2;E9PBC1;F6PQP6;I3L2B2;J3KSA6;J3KSC7;J3KSF8;J3KTF6;J3QLN2	EPN2_HUMAN	EPN2	Epsin-2
O95208;O95208-3	O95208;O95208-2;E9PBC1;O95208-3;O95208-5;F6PQP6;I3L2B2;I3L2H1;I3L356	EPN2_HUMAN	EPN2	Epsin-2
O95208;O95208-3;Q9H201	O95208;O95208-2;Q9H201;E9PBC1;O95208-3;D6REL6;D6RFG3;F6PQP6;I3L2B2;I6L9I8;Q9H201-2	EPN2_HUMAN;EPN3_HUMAN	EPN2;EPN3	Epsin-2
O95210	O95210	STBD1_HUMAN	STBD1	Starch-binding domain-containing protein 1
O95218-2	O95218;O95218-2	ZRAB2_HUMAN	ZRANB2	Isoform 2 of Zinc finger Ran-binding domain-containing protein 2
O95219	O95219;F8W9T3	SNX4_HUMAN	SNX4	Sorting nexin-4
O95229	O95229;O95229-2	ZWINT_HUMAN	ZWINT	ZW10 interactor
O95232	O95232;J3KPP4;O95232-2;C9JL41;D6RDI2;H7C5U7	LC7L3_HUMAN	LUC7L3	Luc7-like protein 3
O95235	O95235;O95235-2	KI20A_HUMAN	KIF20A	Kinesin-like protein KIF20A
O95236;O95236-2	O95236;O95236-2;A0A8Q3SHV3;A0A8Q3SHV8;H0YDH5;H0YEQ0	APOL3_HUMAN	APOL3	Apolipoprotein L3
O95239	O95239;Q2VIQ3;O95239-2	KIF4A_HUMAN	KIF4A	Chromosome-associated kinesin KIF4A
O95248;O95248-4;O95248-5	O95248;O95248-4;O95248-5;A0A8I5KR05;A0A8I5KT60;A0A8I5KTI7;A0A8I5KTN1;A0A8I5KU87;A0A8I5KUE4;A0A8I5KVF2;A0A8I5KXH4;A0A8I5KXN1;A0A8I5KXX8;A0A8I5KY61;A0A8I5KYG9;A0A8J8YTQ8	MTMR5_HUMAN	SBF1	Myotubularin-related protein 5
O95249	O95249;B4DQA8;E9PCW1;F6RU00;G5E9T8;K7EJC8	GOSR1_HUMAN	GOSR1	Golgi SNAP receptor complex member 1
O95251;O95251-4	O95251;A0A6Q8PHH2;O95251-2;O95251-4	KAT7_HUMAN	KAT7	Histone acetyltransferase KAT7
O95260	O95260;A0A8I5KNV5;A0A8I5KSC8;A0A8I5KTH0;A0A8I5KWA6;A0A8I5KXF6;A0A8I5KZ10;A0A8I5KZ28	ATE1_HUMAN	ATE1	Arginyl-tRNA--protein transferase 1
O95260-2	A0A8I5KNT9;A0A8I5KS65;A0A8I5KT53;A0A8I5KVR2;A0A8I5KWF1;A0A8I5KWU7;A0A8I5KX91;A0A8I5KXU0;A0A8I5KYL1;A0A8I5KZ24;A0A8I5QKV3;F5GXE4;A0A8I5KVF5;A0A8I5KXC6;O95260-2	ATE1_HUMAN	ATE1	Isoform ATE1-2 of Arginyl-tRNA--protein transferase 1
O95260;O95260-2	O95260;A0A8I5KNV5;A0A8I5KQ75;A0A8I5KS65;A0A8I5KSC8;A0A8I5KT53;A0A8I5KTH0;A0A8I5KWA6;A0A8I5KWF1;A0A8I5KWU7;A0A8I5KX91;A0A8I5KXF6;A0A8I5KXU0;A0A8I5KYL1;A0A8I5KZ10;A0A8I5KZ24;F5GXE4;F8WAC9;A0A8I5KQS6;A0A8I5KR11;A0A8I5KVF5;A0A8I5KW01;A0A8I5KXC6;A0A8I5QJQ8;A0A8I5QKM5;O95260-2	ATE1_HUMAN	ATE1	Arginyl-tRNA--protein transferase 1
O95271	O95271;E7EQ52;A0A0C4DGE3	TNKS1_HUMAN	TNKS	Poly [ADP-ribose] polymerase tankyrase-1
O95273;O95273-2	O95273;O95273-2;H3BR23	CCDB1_HUMAN	CCNDBP1	Cyclin-D1-binding protein 1
O95274	O95274	LYPD3_HUMAN	LYPD3	Ly6/PLAUR domain-containing protein 3
O95278;O95278-7;O95278-8	O95278;O95278-2;O95278-7;O95278-8	EPM2A_HUMAN	EPM2A	Laforin
O95292	O95292	VAPB_HUMAN	VAPB	Vesicle-associated membrane protein-associated protein B/C
O95292;O95292-2	O95292;E5RK64;O95292-2	VAPB_HUMAN	VAPB	Vesicle-associated membrane protein-associated protein B/C
O95292;O95292-2;Q9P0L0	O95292;Q9P0L0;E5RK64;O95292-2;Q9P0L0-2	VAPA_HUMAN;VAPB_HUMAN	VAPA;VAPB	Vesicle-associated membrane protein-associated protein B/C
O95294-4	O95294;O95294-2;O95294-3;O95294-4	RASL1_HUMAN	RASAL1	Isoform 4 of RasGAP-activating-like protein 1
O95295	O95295	SNAPN_HUMAN	SNAPIN	SNARE-associated protein Snapin
O95299	O95299;A0A087WXC5;A0A7I2V3H5;A0A7I2V594;A0A7I2YQU0;E7ESZ7	NDUAA_HUMAN	NDUFA10	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial
O95302	O95302;O95302-3	FKBP9_HUMAN	FKBP9	Peptidyl-prolyl cis-trans isomerase FKBP9
O95319;O95319-3;O95319-4	O95319;O95319-2;O95319-3;O95319-4;O95319-5;A0A0J9YX66;A0A0J9YXJ0;A0A1B0GU44;A0A1B0GUN8;E9PC62;Q5VZZ6;V9GYD9	CELF2_HUMAN	CELF2	CUGBP Elav-like family member 2
O95319;O95319-3;O95319-4;Q92879-4	O95319;Q92879;O95319-2;O95319-3;O95319-4;O95319-5;Q92879-2;Q92879-3;Q92879-4;Q92879-5;Q92879-6;A0A0J9YX66;A0A0J9YXJ0;A0A1B0GU44;A0A1B0GUN8;E9PC62;G5EA30;Q5VZZ6;V9GYD9	CELF1_HUMAN;CELF2_HUMAN	CELF1;CELF2	CUGBP Elav-like family member 2
O95336	O95336;M0R1L2;M0R261;M0R0U3	6PGL_HUMAN	PGLS	6-phosphogluconolactonase
O95340;O95340-2	O95340;O95340-2	PAPS2_HUMAN	PAPSS2	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2
O95347	O95347;O95347-2	SMC2_HUMAN	SMC2	Structural maintenance of chromosomes protein 2
O95352	O95352;O95352-2;O95352-3;H7C059	ATG7_HUMAN	ATG7	Ubiquitin-like modifier-activating enzyme ATG7
O95359;O95359-3	O95359;E7EMZ9;E9PBC6;O95359-3	TACC2_HUMAN	TACC2	Transforming acidic coiled-coil-containing protein 2
O95361	O95361;H0Y626;O95361-2;Q309B1;B3KP96;K7ENN8	TRI16_HUMAN	TRIM16	Tripartite motif-containing protein 16
O95365	O95365	ZBT7A_HUMAN	ZBTB7A	Zinc finger and BTB domain-containing protein 7A
O95372	O95372;Q5QPN9;Q5QPN5;Q5QPQ1;Q5QPQ2;Q5QPQ3	LYPA2_HUMAN	LYPLA2	Acyl-protein thioesterase 2
O95373	O95373	IPO7_HUMAN	IPO7	Importin-7
O95376	O95376	ARI2_HUMAN	ARIH2	E3 ubiquitin-protein ligase ARIH2
O95379	O95379	TFIP8_HUMAN	TNFAIP8	Tumor necrosis factor alpha-induced protein 8
O95379;O95379-4	O95379;O95379-2;O95379-3;O95379-4;D6RCM8;E5RIJ3	TFIP8_HUMAN	TNFAIP8	Tumor necrosis factor alpha-induced protein 8
O95382;O95382-2;O95382-3	O95382;O95382-2;O95382-3	M3K6_HUMAN	MAP3K6	Mitogen-activated protein kinase kinase kinase 6
O95382;O95382-3	O95382;O95382-3	M3K6_HUMAN	MAP3K6	Mitogen-activated protein kinase kinase kinase 6
O95390	O95390;H0YI30	GDF11_HUMAN	GDF11	Growth/differentiation factor 11
O95394-3	O95394;A0A494C0G1;A0A494C1Q4;A0A8V8TLT8;A0A8V8TMH7;A0A8V8TNH4;H0Y987;A0A8V8TM25;O95394-3;O95394-4;A0A494C099;A0A494C163;A0A8V8TNG4;A0A8V8TNM1;A0A8V8TNT6;D6RC77;D6RCD1;D6RCQ8;D6RF77;H0Y8I3	AGM1_HUMAN	PGM3	Isoform 2 of Phosphoacetylglucosamine mutase
O95395	O95395	GCNT3_HUMAN	GCNT3	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3
O95396	O95396	MOCS3_HUMAN	MOCS3	Adenylyltransferase and sulfurtransferase MOCS3
O95398;O95398-2	O95398;O95398-2;O95398-3;F8VRX1;F8W0N0;H0YIP6	RPGF3_HUMAN	RAPGEF3	Rap guanine nucleotide exchange factor 3
O95400	O95400	CD2B2_HUMAN	CD2BP2	CD2 antigen cytoplasmic tail-binding protein 2
O95405	O95405;O95405-2	ZFYV9_HUMAN	ZFYVE9	Zinc finger FYVE domain-containing protein 9
O95407	O95407	TNF6B_HUMAN	TNFRSF6B	Tumor necrosis factor receptor superfamily member 6B
O95425;O95425-3;O95425-4	O95425;A0A6I8PIX7;O95425-2;O95425-3;O95425-4	SVIL_HUMAN	SVIL	Supervillin
O95428	O95428;B5MDP7;G3V5P6;O95428-3;O95428-4;O95428-5;O95428-6	PPN_HUMAN	PAPLN	Papilin
O95428;O95428-2	O95428;O95428-2;O95428-5;O95428-6	PPN_HUMAN	PAPLN	Papilin
O95429	O95429;O95429-2	BAG4_HUMAN	BAG4	BAG family molecular chaperone regulator 4
O95433	O95433;G3V438;H0YJU2	AHSA1_HUMAN	AHSA1	Activator of 90 kDa heat shock protein ATPase homolog 1
O95436	O95436;O95436-2;D6RA94;D6RBC0	NPT2B_HUMAN	SLC34A2	Sodium-dependent phosphate transport protein 2B
O95445	O95445;Q5SRP5;O95445-2	APOM_HUMAN	APOM	Apolipoprotein M
O95450	O95450;A0A1B0GTY3;A0A8V8TMU7;O95450-2	ATS2_HUMAN	ADAMTS2	A disintegrin and metalloproteinase with thrombospondin motifs 2
O95453	O95453;A0A494C0Q2;A0A494C0W0;A0A494BZU6;A0A494BZW7;A0A494C0K5;A0A494C0P9;A0A494C1G3;A0A494C1K5;A0A494C1N1;A0A8V8TMN8;O95453-2;O95453-3;O95453-4	PARN_HUMAN	PARN	Poly(A)-specific ribonuclease PARN
O95456	O95456	PSMG1_HUMAN	PSMG1	Proteasome assembly chaperone 1
O95460;O95460-2;O95460-4	O95460;O95460-2;A6NNA4;O95460-4	MATN4_HUMAN	MATN4	Matrilin-4
O95466-2	O95466;O95466-2;O95466-3	FMNL1_HUMAN	FMNL1	Isoform 2 of Formin-like protein 1
O95467	O95467	GNAS3_HUMAN	GNAS	Neuroendocrine secretory protein 55
O95470	O95470;A0A8V8TLU8;A0A8V8TN35	SGPL1_HUMAN	SGPL1	Sphingosine-1-phosphate lyase 1
O95477	O95477;A0A7I2V5U0;B1AMI1;B1AMI2	ABCA1_HUMAN	ABCA1	Phospholipid-transporting ATPase ABCA1
O95479;O95479-2	O95479;O95479-2	G6PE_HUMAN	H6PD	GDH/6PGL endoplasmic bifunctional protein
O95486	O95486	SC24A_HUMAN	SEC24A	Protein transport protein Sec24A
O95486;O95487;O95487-2;O95487-3	O95486;O95487;O95487-2;O95487-3	SC24A_HUMAN;SC24B_HUMAN	SEC24A;SEC24B	Protein transport protein Sec24A
O95487;O95487-2;O95487-3	O95487;O95487-2;O95487-3	SC24B_HUMAN	SEC24B	Protein transport protein Sec24B
O95490;O95490-2;O95490-5;O95490-6;O95490-7	O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7;A0A6I8PIV6;A0A6I8PLG0;A0A6I8PRJ0;A0A6I8PRM6;A0A6I8PRQ0;A0A6I8PTT2;A0A6I8PUE4;A0A8I5KUX3;B1ALU1;B1ALU3;H0Y5C0	AGRL2_HUMAN	ADGRL2	Adhesion G protein-coupled receptor L2
O95497	O95497	VNN1_HUMAN	VNN1	Pantetheinase
O95498;O95498-6	O95498;O95498-6;J3KQ55;J3QT03	VNN2_HUMAN	VNN2	Pantetheine hydrolase VNN2
O95502	O95502;A0A1X7SBT7	NPTXR_HUMAN	NPTXR	Neuronal pentraxin receptor
O95544	O95544	NADK_HUMAN	NADK	NAD kinase
O95544;O95544-2	O95544;A0A0A0MR98;O95544-2;O95544-3;J3KTI3	NADK_HUMAN	NADK	NAD kinase
O95551;O95551-2	O95551;O95551-2	TYDP2_HUMAN	TDP2	Tyrosyl-DNA phosphodiesterase 2
O95568;P01024	O95568;P01024;A0A8Q3WLS3;A0A8Q3WM02;M0R1Q1	CO3_HUMAN;MET18_HUMAN	C3;METTL18	Histidine protein methyltransferase 1 homolog
O95571	O95571;M0QXB5	ETHE1_HUMAN	ETHE1	Persulfide dioxygenase ETHE1, mitochondrial
O95573	O95573;A0A7P0T8L6;A0A7P0TA76;A0A7P0TB52	ACSL3_HUMAN	ACSL3	Fatty acid CoA ligase Acsl3
O95602	O95602;B9ZVN9	RPA1_HUMAN	POLR1A	DNA-directed RNA polymerase I subunit RPA1
O95613	O95613;A0A8Q3SHZ3;O95613-2	PCNT_HUMAN	PCNT	Pericentrin
O95619	O95619;F8W0J4	YETS4_HUMAN	YEATS4	YEATS domain-containing protein 4
O95626;P39687	P39687;H0YN26;O95626	AN32A_HUMAN;AN32D_HUMAN	ANP32A;ANP32D	Acidic leucine-rich nuclear phosphoprotein 32 family member D
O95628-3;O95628-5	O95628;O95628-10;O95628-2;O95628-3;O95628-4;O95628-5;O95628-6;O95628-7;O95628-8;O95628-9	CNOT4_HUMAN	CNOT4	Isoform 3 of CCR4-NOT transcription complex subunit 4
O95630	O95630;C9JK83;F5H5B9;O95630-2;A0A804HHU9;A0A804HHV2;A0A804HI64;A0A804HIF8;A0A804HII8;A0A804HIV0;A0A804HJC8;A0A804HJD9;A0A804HJS0;A0A804HKA6;A0A804HKL2;A0A804HL27;A0A804HL38	STABP_HUMAN	STAMBP	STAM-binding protein
O95631	O95631	NET1_HUMAN	NTN1	Netrin-1
O95633;O95633-2	O95633;O95633-2	FSTL3_HUMAN	FSTL3	Follistatin-related protein 3
O95639;O95639-2;O95639-3	O95639;C9JEV9;O95639-2;O95639-3;F8WEL7	CPSF4_HUMAN	CPSF4	Cleavage and polyadenylation specificity factor subunit 4
O95670	O95670;H0Y474;O95670-2;O95670-3	VATG2_HUMAN	ATP6V1G2	V-type proton ATPase subunit G 2
O95671-2	O95671;O95671-2;O95671-3	ASML_HUMAN	ASMTL	Isoform 2 of Probable bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein
O95674	O95674	CDS2_HUMAN	CDS2	Phosphatidate cytidylyltransferase 2
O95678	CON_O95678;O95678	K2C75_HUMAN	KRT75	Keratin, type II cytoskeletal 75
O95678;P05787;P05787-2	CON_Q5XQN5;CON_Q922U2;CON_Q8BGZ7;CON_P05787;CON_O95678;O95678;P05787;P05787-2	K2C75_HUMAN;K2C8_HUMAN	KRT75;KRT8	Keratin, type II cytoskeletal 75
O95684;O95684-2	O95684;A0A087WV25;O95684-2;A0A994J4T6;A0A994J4U0;A0A994J4U5;A0A994J500;A0A994J518;A0A994J527;A0A994J5D2;A0A994J5E9;A0A994J5F4;A0A994J5H0;A0A994J5H4;A0A994J7B5;A0A994J7D3;A0A994J7Q7;A0A994J7R7;A0A994J7S1;A0A994J7S5	CEP43_HUMAN	CEP43	Centrosomal protein 43
O95685	O95685	PPR3D_HUMAN	PPP1R3D	Protein phosphatase 1 regulatory subunit 3D
O95707	O95707;K7EQV2	RPP29_HUMAN	POP4	Ribonuclease P protein subunit p29
O95714	O95714;A0A0J9YVP0;A0A3B3IRP6	HERC2_HUMAN	HERC2	E3 ubiquitin-protein ligase HERC2
O95715	O95715;A0A0C4DGC1	CXL14_HUMAN	CXCL14	C-X-C motif chemokine 14
O95716	O95716;P20336;M0R257	RAB3D_HUMAN	RAB3D	Ras-related protein Rab-3D
O95716;P20337;P20338;P61006;P61026;Q15286;Q86YS6;Q92928;Q92930;Q96DA2;Q96E17;Q9H0U4	O95716;P20336;P20337;P20338;P61006;P61018;P61026;P61106;P62820;Q15286;Q15771;Q6IQ22;Q86YS6;Q92930;Q96AX2;Q96DA2;Q96E17;Q9H0U4;Q92928;X6RFL8;P61006-2;Q15286-2;Q86YS6-2;A0A3B3ITT1;A0A994J451;A0A994J4B9;A8MSP2;A8MTC6;B7Z3L0;C9JFM7;E9PI18;E9PJQ5;E9PMJ1;E9PNB9;E9PRF7;E9PS06;F5H157;H0YDK7;H0YMN7;H0YNE9;M0R0X1;M0R257;P61018-2;Q15771-2;Q6PIK3;Q96AX2-2;Q96AX2-3;Q96AX2-4	RAB10_HUMAN;RAB1B_HUMAN;RAB1C_HUMAN;RAB35_HUMAN;RAB3B_HUMAN;RAB3C_HUMAN;RAB3D_HUMAN;RAB43_HUMAN;RAB4A_HUMAN;RAB8A_HUMAN;RAB8B_HUMAN;RB39B_HUMAN	RAB10;RAB1B;RAB1C;RAB35;RAB39B;RAB3B;RAB3C;RAB3D;RAB43;RAB4A;RAB8A;RAB8B	Ras-related protein Rab-3D
O95716;P20337;P20338;P61006;P61026;Q15286;Q86YS6;Q92930;Q96DA2;Q96E17;Q9H0U4	O95716;P20336;P20337;P20338;P61006;P61018;P61026;P61106;P62820;Q15286;Q15771;Q6IQ22;Q86YS6;Q92930;Q96AX2;Q96DA2;Q96E17;Q9H0U4;Q92928;X6RFL8;P61006-2;Q15286-2;Q86YS6-2;A0A3B3ITT1;A0A994J451;A0A994J4B9;A8MSP2;A8MTC6;B7Z3L0;C9JFM7;E9PI18;E9PJQ5;E9PMJ1;E9PNB9;E9PRF7;E9PS06;F5H157;H0YDK7;H0YMN7;H0YNE9;M0R0X1;M0R257;P61018-2;Q15771-2;Q6PIK3;Q96AX2-2;Q96AX2-3;Q96AX2-4	RAB10_HUMAN;RAB1B_HUMAN;RAB35_HUMAN;RAB3B_HUMAN;RAB3C_HUMAN;RAB3D_HUMAN;RAB43_HUMAN;RAB4A_HUMAN;RAB8A_HUMAN;RAB8B_HUMAN;RB39B_HUMAN	RAB10;RAB1B;RAB35;RAB39B;RAB3B;RAB3C;RAB3D;RAB43;RAB4A;RAB8A;RAB8B	Ras-related protein Rab-3D
O95716;P20337;P51153;P61006;Q92930;Q96E17	O95716;P20336;P20337;P51153;P61006;Q92930;Q96E17;P61006-2;H0YMN7;H0YNE9;M0R257	RAB13_HUMAN;RAB3B_HUMAN;RAB3C_HUMAN;RAB3D_HUMAN;RAB8A_HUMAN;RAB8B_HUMAN	RAB13;RAB3B;RAB3C;RAB3D;RAB8A;RAB8B	Ras-related protein Rab-3D
O95716;P20337;Q96E17	O95716;P20337;Q96E17	RAB3B_HUMAN;RAB3C_HUMAN;RAB3D_HUMAN	RAB3B;RAB3C;RAB3D	Ras-related protein Rab-3D
O95721	O95721;C9JAF7	SNP29_HUMAN	SNAP29	Synaptosomal-associated protein 29
O95747	O95747;C9JIG9	OXSR1_HUMAN	OXSR1	Serine/threonine-protein kinase OSR1
O95749	O95749;A0A2R8YE82;C9J6G3;C9J7M1	GGPPS_HUMAN	GGPS1	Geranylgeranyl pyrophosphate synthase
O95750	O95750	FGF19_HUMAN	FGF19	Fibroblast growth factor 19
O95755	O95755;O95755-2	RAB36_HUMAN	RAB36	Ras-related protein Rab-36
O95757	O95757;E9PDE8	HS74L_HUMAN	HSPA4L	Heat shock 70 kDa protein 4L
O95758;O95758-1;O95758-2;O95758-4;O95758-5;O95758-6	O95758;P26599;A0A0U1RRM4;A0A6Q8PEX4;A0A7I2V4H6;A0A7I2V621;A6NLN1;O95758-1;O95758-2;O95758-4;O95758-5;O95758-6;P26599-1;P26599-2;K7EKJ7;K7ELW5;K7ES59;X6R242	PTBP3_HUMAN	PTBP3	Polypyrimidine tract-binding protein 3
O95758;O95758-1;O95758-2;O95758-4;O95758-5;O95758-6;O95758-7	O95758;O95758-1;O95758-2;O95758-4;O95758-5;O95758-6;O95758-7;X6R242	PTBP3_HUMAN	PTBP3	Polypyrimidine tract-binding protein 3
O95759	O95759;J3KQ40;O95759-2	TBCD8_HUMAN	TBC1D8	TBC1 domain family member 8
O95760-2	O95760;O95760-2;O95760-3;O95760-4	IL33_HUMAN	IL33	Isoform 2 of Interleukin-33
O95777	O95777;C9JIZ0;C9JNV3;F2Z2Y6	LSM8_HUMAN	LSM8	U6 snRNA-associated Sm-like protein LSm8
O95782;O95782-2	O94973;O95782;O94973-2;O94973-3;A0A0G2JS82;A0A8I5KPP9;O95782-2;A0A0G2JQM1;A0A8I5KYZ9	AP2A1_HUMAN	AP2A1	AP-2 complex subunit alpha-1
O95785	O95785;A0A2R8YFV2;A0A669KAV7	WIZ_HUMAN	WIZ	Protein Wiz
O95785-3	M0QXA7;O95785-3;O95785-4;A0A669KAV7;A0A669KBG4;A0A669KBH9;B9EGQ5	WIZ_HUMAN	WIZ	Isoform 3 of Protein Wiz
O95785;O95785-3	O95785;A0A2R8YFV2;M0QXA7;O95785-2;O95785-3;O95785-4;A0A669KAV7;A0A669KBG4;A0A669KBH9;B9EGQ5	WIZ_HUMAN	WIZ	Protein Wiz
O95786	O95786;A0A7P0TB70;A2A376;B3KWW1;O95786-2;A0A7P0T9I8	RIGI_HUMAN	RIGI	Antiviral innate immune response receptor RIG-I
O95793;O95793-2	O95793;O95793-2;Q5JW30	STAU1_HUMAN	STAU1	Double-stranded RNA-binding protein Staufen homolog 1
O95793;O95793-2;O95793-3	O95793;O95793-2;O95793-3;Q5JW28;Q5JW30	STAU1_HUMAN	STAU1	Double-stranded RNA-binding protein Staufen homolog 1
O95793;O95793-2;O95793-3;Q9NUL3;Q9NUL3-4	O95793;Q9NUL3;O95793-2;Q9NUL3-2;Q9NUL3-3;Q9NUL3-4;Q9NUL3-6;Q9NUL3-7;Q9NUL3-8;E5RJN7;E7EPX0;E7EVI1;E7EVJ4;O95793-3;Q5JW30	STAU1_HUMAN;STAU2_HUMAN	STAU1;STAU2	Double-stranded RNA-binding protein Staufen homolog 1
O95801	O95801	TTC4_HUMAN	TTC4	Tetratricopeptide repeat protein 4
O95803;O95803-3;Q9H3R1	O95803;Q9H3R1;O95803-3;Q9H3R1-2	NDST3_HUMAN;NDST4_HUMAN	NDST3;NDST4	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 3
O95810	O95810	CAVN2_HUMAN	CAVIN2	Caveolae-associated protein 2
O95816	O95816	BAG2_HUMAN	BAG2	BAG family molecular chaperone regulator 2
O95817	O95817	BAG3_HUMAN	BAG3	BAG family molecular chaperone regulator 3
O95819-3;O95819-6	O95819;O95819-2;O95819-3;O95819-4;O95819-5;O95819-6;A0A0D9SEY1;E7EN19;E7ENQ1;E7EX83;G5E948;H7C0P6;H7C360	M4K4_HUMAN	MAP4K4	Isoform 3 of Mitogen-activated protein kinase kinase kinase kinase 4
O95819-6	O95819-6;G5E948	M4K4_HUMAN	MAP4K4	Isoform 6 of Mitogen-activated protein kinase kinase kinase kinase 4
O95825	O95825;O95825-2;A6NHJ8;A6NMA8;A6NND8;C9JAL0;C9JQD0;C9JZK8;C9K0F7;F8WF64;H7C3I5;H7C3S0	QORL1_HUMAN	CRYZL1	Quinone oxidoreductase-like protein 1
